id,ativo,usado,data_ativacao,data_entrada;;id;ativo;usado;data ativação;data entrada;;;;;;bilhetes não usados;
"EVT-013RFE9X,TRUE,TRUE,""14/05/2026, 17:51:35"",""15/05/2026, 14:22:58""";;EVT-013RFE9X;TRUE,;TRUE,;14/05/2026, 17:51:35;15/05/2026, 14:22:58;13;18;23;46;;;0
"EVT-020019Q2,TRUE,FALSE,""16/05/2026, 12:10:14"",";;EVT-020019Q2;TRUE,;FALSE,;16/05/2026, 12:10:14;;13;18;24;47;;EVT-020019Q2;0
"EVT-03VTY6BT,TRUE,FALSE,""16/05/2026, 12:11:07"",";;EVT-03VTY6BT;TRUE,;FALSE,;16/05/2026, 12:11:07;;13;18;24;47;;EVT-03VTY6BT;0
"EVT-062RJY08,TRUE,TRUE,""14/05/2026, 11:52:25"",""16/05/2026, 13:02:38""";;EVT-062RJY08;TRUE,;TRUE,;14/05/2026, 11:52:25;16/05/2026, 13:02:38;13;18;23;46;;;0
"EVT-06K9LHNH,TRUE,TRUE,""15/05/2026, 11:52:32"",""15/05/2026, 19:26:15""";;EVT-06K9LHNH;TRUE,;TRUE,;15/05/2026, 11:52:32;15/05/2026, 19:26:15;13;18;23;46;;;0
EVT-0E3TUJJA,FALSE,FALSE,,;;EVT-0E3TUJJA;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-0JDO353N,TRUE,TRUE,""15/05/2026, 12:16:18"",""15/05/2026, 14:14:21""";;EVT-0JDO353N;TRUE,;TRUE,;15/05/2026, 12:16:18;15/05/2026, 14:14:21;13;18;23;46;;;0
EVT-0JGB09XC,FALSE,FALSE,,;;EVT-0JGB09XC;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-0M74R26F,FALSE,FALSE,,;;EVT-0M74R26F;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-0MCOLE45,FALSE,FALSE,,;;EVT-0MCOLE45;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-0O2FGSMF,FALSE,FALSE,,;;EVT-0O2FGSMF;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-0RCKJ3TC,TRUE,TRUE,""17/05/2026, 13:43:02"",""17/05/2026, 13:43:42""";;EVT-0RCKJ3TC;TRUE,;TRUE,;17/05/2026, 13:43:02;17/05/2026, 13:43:42;13;18;23;46;;;0
"EVT-0U7VZ7KA,TRUE,TRUE,""14/05/2026, 17:25:32"",""15/05/2026, 12:32:36""";;EVT-0U7VZ7KA;TRUE,;TRUE,;14/05/2026, 17:25:32;15/05/2026, 12:32:36;13;18;23;46;;;0
"EVT-0UTPP42X,TRUE,TRUE,""14/05/2026, 17:50:24"",""16/05/2026, 14:00:53""";;EVT-0UTPP42X;TRUE,;TRUE,;14/05/2026, 17:50:24;16/05/2026, 14:00:53;13;18;23;46;;;0
